date,currency,observation_index,calendar_anchor,anchor_day,days_from_anchor,level_percentile_20,attractive,reminder_fallback,signal_source,message_fact
2026-02-20,UZS,3983,2026-02-20,20,0,0.25,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-03-05,AMD,3991,2026-03-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-03-05,KGS,3991,2026-03-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-03-05,KZT,3991,2026-03-05,5,0,0.25,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-03-05,TJS,3991,2026-03-05,5,0,0.45,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-03-05,UZS,3991,2026-03-05,5,0,0.0,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-03-20,AMD,4001,2026-03-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-03-20,KGS,4001,2026-03-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-03-20,KZT,4001,2026-03-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-03-20,TJS,4001,2026-03-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-03-20,UZS,4001,2026-03-20,20,0,0.0,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-04-05,AMD,4012,2026-04-05,5,0,0.75,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-04-05,KGS,4012,2026-04-05,5,0,0.75,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-04-05,KZT,4012,2026-04-05,5,0,0.3,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-04-05,TJS,4012,2026-04-05,5,0,0.75,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-04-05,UZS,4012,2026-04-05,5,0,0.75,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-04-20,AMD,4022,2026-04-20,20,0,0.8,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 80% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-04-20,KGS,4022,2026-04-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-04-20,KZT,4022,2026-04-20,20,0,0.75,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2026-04-20,TJS,4022,2026-04-20,20,0,0.8,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 80% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-04-20,UZS,4022,2026-04-20,20,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-05-05,AMD,4032,2026-05-05,5,0,0.3,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-05-05,KGS,4032,2026-05-05,5,0,0.55,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-05-05,KZT,4032,2026-05-05,5,0,0.35,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-05-05,TJS,4032,2026-05-05,5,0,0.35,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-05-05,UZS,4032,2026-05-05,5,0,0.3,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-05-20,AMD,4042,2026-05-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-05-20,KGS,4042,2026-05-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-05-20,KZT,4042,2026-05-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-05-20,TJS,4042,2026-05-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-05-20,UZS,4042,2026-05-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2026-06-05,AMD,4054,2026-06-05,5,0,0.1,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2026-06-05,KGS,4054,2026-06-05,5,0,0.15,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
